Name,Category,Pandemic,Start_Year,End_Year,Duration,Death,Confirmed_Case,Population,Case_Fatality_Rate,Mortality_Rate,Infection_Rate,AG_Infant,AG_Children,AG_Young_Adult,AG_Mid_Age,AG_Old,Country_Region
Fiji Islands Epidemics of the Late 1700s and Early 1800s,Influenza,No,1791,1792,1.998858447,,,,,,,,,,,,Fiji
Fiji Islands Measles Epidemics of 1875,Measles,No,1875,1875,0.998858447,40000,150000,150000,0.225,0.225,1,1,,,,1,Fiji
Fiji Islands Measles Epidemics of 1903,Measles,No,1903,1903,0.998858447,1800,,,,,,1,1,1,,,Fiji
Fiji Islands Measles Epidemics of 1911,Measles,No,1911,1911,0.998858447,326,,2226,,0.15,,,,,,,Fiji
Finnish Ergotism Epidemics of the 1800s,Ergotism,No,1836,1871,35.99885845,,1400,,0.127,,,1,1,,,,Finland
Florence Dysentery Epidemic of 1425,Dysentery,No,1425,1425,0.415525114,,500,,,,,1,1,,,,Italy
Florence Plague of 1347–48,Plague,No,1347,1348,0.583333333,,,,1,0.6,,,,,,,Italy
Florence Plague of 1417,Plague,No,1417,1417,0.998858447,4000,,40000,,0.1,,,,,,,Italy
Florence Plague of 1430,Plague,No,1430,1430,0.998858447,2250,,,,,,1,1,,,,Italy
Florence Plague of 1630–33,Plague,No,1630,1633,3.998858447,7000,,,,0.1,,,,,,,Italy
French Army Syphilis Epidemic of 1494–95,Syphilis,No,1494,1495,1.248858447,,,,,,,,,,,,Italy
French Army Typhus Epidemic of 1528,Typhus,No,1528,1528,0.998858447,17000,,,,0.607142857,,,,,,,Italy
French Cholera Epidemic of 1832–33,Cholera,No,1832,1833,1.755479452,100000,,,0.375,,,,,,,,France
French Cholera Epidemics of 1848–49,Cholera,No,1848,1849,1.998858447,150000,,,,,,,,,,,France
"French Cholera Epidemics of 1853–54,",Cholera,No,1853,1854,1.998858447,150000,,,,,,,,,,,France
French Cholera Epidemics of 1865–66,Cholera,No,1865,1866,1.998858447,,,,,,,,,,,,France
French Dysentery Epidemic of 1738–42,Dysentery,No,1738,1742,4.998858447,30000,,,,,,,,,,,France
French Dysentery Epidemic of 1779,Dysentery,No,1779,1779,0.998858447,175000,,,,,,,,,,,France
French Influenza Epidemic of 1740,Influenza,No,1740,1740,0.496118721,2057,,,,,,,,,,,France
French Miliary Fever Epidemics of the 1800s,Sweating Sickness,No,1821,1826,5.998858447,,,,0.17,,,,,1,1,,France
French Plagues of 1450–1520,Plague,No,1450,1520,70.99885845,,,,,,,,,,,,France
French Plagues of 1520–1600,Plague,No,1520,1600,80.99885845,,,,,,,,,,,,France
French Plagues of 1625–40,Plague,No,1625,1640,15.99885845,,,,,,,,,,,,France
French Polynesian Measles Epidemic of 1854,Measles,No,1854,1854,0.998858447,750,,,,,,,,,,,French Polynesia
French Polynesian Measles Epidemic of 1950–51,Measles,No,1950,1951,1.998858447,,,,,,,1,1,1,,,French Polynesia
French Typhus and Typhoid Epidemics of 1740–42,Typhus,No,1740,1742,2.998858447,55000,,,,,,,,,,,France
French Typhus Epidemics of 1813–14,Typhus,No,1813,1814,1.998858447,11100,,,,,,,,,,,France
Gabonese Ebola Epidemic of 2001–02,Ebola,No,2001,2002,0.299315068,50,60,,0.833333333,,,,,,,,Gabon
Gabonese Ebola Outbreaks of 1996,Ebola,No,1996,1996,0.998858447,82,114,,0.719298246,,,,,,,,Gabon
"German, Austrian, and Swiss Plagues of the 1500s",Plague,No,1500,1599,99.99885845,103000,,,,,,,,,,,"Germany, Austria,
and Switzerland"
"German, Austrian, and Swiss Plagues of 1663–68",Plague,No,1663,1668,5.998858447,,,,,,,,,,,,"Germany, Austria,
and Switzerland"
"German, Austrian, and Swiss Plagues of 1675–83",Plague,No,1675,1683,8.998858447,,,,,,,,,,,,"Germany, Austria,
and Switzerland"
German Cholera Epidemics of 1830–90,Cholera,No,1830,1890,60.99885845,,,,,,,,,,,,"Germany, Austria,
and Switzerland"
German Plagues of 1462–65,Plague,No,1462,1465,3.998858447,8800,,,,,,,,,,,Germany
German Typhus Epidemic of 1734,Typhus,No,1734,1734,0.998858447,,,,,,,,,,,,Germany
"German Typhus Epidemics of 1813–14, Northern and Central",Typhus,No,1813,1814,1.998858447,469000,,,,,,,,,,,Germany
"German Typhus Epidemics of 1813–14, Southern",Typhus,No,1813,1814,1.998858447,,,,,,,,,,,,Germany
"German Typhus, Typhoid, and Dysentery Epidemics of 1741–43",Typhus,No,1741,1743,2.998858447,,,,,,,,,,,,Germany
Ghanian Malaria Epidemic of 1952–54,Malaria,No,1952,1954,2.998858447,28250,52000,77000,0.05,0.366883117,0.675324675,,,,,,Ghana
Ghanian Meningitis Epidemics of 1945–49,cerebrospinal meningitis (CSM),No,1945,1949,4.998858447,3200,34000,,0.1,,,,,,,,Ghana
Ghanian Plague of 1908,Plague,No,1908,1908,0.998858447,300,344,,0.872093023,,,,,,,,Ghana
Ghanian Sleeping Sickness Epidemic of 1936–41,Sleeping Sickness,No,1936,1941,5.998858447,,12437,,,,,,,,,,Ghana
Ghanian Smallpox Epidemic of 1945–47,Smallpox,No,1945,1947,2.998858447,608,3196,,0.18,,,,,,,,Ghana
Ghanian Tuberculosis Epidemic of 1942–44,Tuberculosis,No,1942,1944,2.998858447,3200,,,,0.00264,,,,,,,Ghana
Ghanian Yellow Fever Epidemic of 1926,Yellow Fever,No,1926,1926,0.998858447,150,,,,,,,,,,,Ghana
Gibraltar Yellow Fever Epidemics of 1804–28,Yellow Fever,No,1804,1828,24.99885845,1631,,,,,,,,,,,Spain
Gilbert and Ellice Islands Measles Epidemics of 1890,Measles,No,1890,1890,0.998858447,1000,,,,,,,,,,,Gilbert and Ellice Islands
Gilbert and Ellice Islands Measles Epidemics of 1936,Measles,No,1936,1936,0.998858447,450,14282,27000,0.031508192,0.016666667,0.528962963,,,,,,Gilbert and Ellice Islands
Granada Typhus Epidemic of 1489,Typhus,No,1489,1489,0.998858447,17000,,,,,,,,,,,Spain
Greenlandic Smallpox Epidemic of 1733–34,Smallpox,No,1733,1734,1.998858447,70,,,,,,,,,,,Greenland
Gros Ventre Indian Smallpox Epidemic of 1869,Smallpox,No,1869,1869,0.998858447,800,,,,,,,,,,,USA
Guam Encephalitis Epidemic of 1947–48,Japanese B encephalitis (JBE),No,1947,1948,1.998858447,54,,,,,0.00065,1,1,,,,Guam
Guam Mumps Epidemic of 1947–48,Mumps,No,1947,1948,1.998858447,,1647,24717,,,0.0666,,,,,,Guam
Guatemalan Dysentery Epidemic of 1969–70,Dysentery,No,1969,1970,1.332191781,12000,130000,4717000,0.1,0.0025,0.02755989,1,,,,,Guatemala
Guayaquil Yellow Fever Epidemics of 1740,Yellow Fever,No,1740,1740,0.998858447,8431,12000,,0.702583333,,,,,,,,Ecuador
Guayaquil Yellow Fever Epidemics of 1743,Yellow Fever,No,1743,1743,0.998858447,,,,,,,,,,,,Ecuador
Guayaquil Yellow Fever Epidemics of 1842,Yellow Fever,No,1842,1842,0.998858447,,,,,,,,,,,,Ecuador
Guinean Smallpox Epidemic of 1967,Smallpox,No,1967,1967,0.998858447,103,1529,,0.126,,,1,1,,,,West African republic of Guinea
Haitian Yellow Fever Epidemic of 1794–98,Yellow Fever,No,1794,1798,4.998858447,5150,,,,,,,,,,,Haiti
Haitian Yellow Fever Epidemic of 1802,Yellow Fever,No,1802,1803,0.748858447,40000,,,,,,,,,,,Haiti
Hamburg Cholera Epidemic of 1892,Cholera,No,1892,1892,0.280136986,8605,16956,66000,0.507489974,0.130378788,0.256909091,,,,,,Germany
Havana Yellow Fever Epidemic of 1761–62,Yellow Fever,No,1761,1762,1.998858447,,,,,,,,,,,,Cuba
Hawaiian Dengue Fever Outbreak of 2001,Dengue,No,2001,2002,0.823972603,,124,,,,,,,,,,USA
Hawaiian Plague of 1899–1900,Plague,No,1899,1900,1.998858447,61,71,,0.85915493,,,,,,,,USA
Hawaiian Smallpox Epidemic of 1853,Smallpox,No,1853,1853,0.665525114,2485,6405,,0.387978142,0.08,,,,,,,USA
Henry IV’s Army Epidemics of 1081–83,Dysentery,No,1081,1083,2.998858447,,,,,,,,,,,,Germany
Hispaniola Smallpox Epidemic of 1507,Smallpox,No,1507,1507,0.998858447,,,,,,,,,,,,Haiti and the Dominican Republic
Hispaniola Smallpox Epidemic of 1518,Smallpox,No,1518,1518,0.998858447,,,,,0.996666667,,,,,,,Haiti and the Dominican Republic
Hispaniola Yellow Fever Epidemic of 1495–96,Yellow Fever,No,1495,1496,1.998858447,,,,,,,,,,,,Haiti and the Dominican Republic
HIV/AIDS Pandemic,HIV/AIDS,Yes,1975,2006,31.99885845,25000000,63600000,,0.393081761,,,,,,,,world
Hong Kong Influenza Pandemic of 1968,Influenza,Yes,1968,1968,0.998858447,,,,,,0.15,1,,,1,1,China
Hong Kong Plague of 1894,Plague,No,1894,1894,0.998858447,160000,,,,,,,,,,,China
Houston Encephalitis Epidemic of 1964,Encephalitis,No,1964,1964,0.498858447,27,243,,0.111111111,,,,,,,,USA
Huron Indian Epidemics of 1634–40,Influenza,No,1634,1640,6.998858447,,,,,0.5,,,,,,,Canada
"Iceland, Great Plague of",Plague,No,1402,1404,2.998858447,,,,,0.45,,,,,,,Iceland
Icelandic Plague of 1494–95,Plague,No,1494,1495,1.998858447,,,,,,,,,,,,Iceland
Icelandic Smallpox Epidemic of 1707–09,Smallpox,No,1707,1709,2.998858447,15000,,50000,,0.3,,,,,,,Iceland
Indian and Burmese Sprue Epidemic of 1943–45,Sprue,No,1943,1945,2.998858447,,3000,,,,,,,1,1,1,"India, Burma"
Indian and Nepalese Encephalitis Epidemics of 2005 ,Japanese B encephalitis (JBE),No,2005,2005,0.998858447,2744,12865,,0.213291877,,,1,1,,,,"India, Nepal"
Indian-Bangladeshi Cholera Epidemic of 1971,Cholera,No,1971,1971,0.691324201,3000,51000,,0.058823529,,,,,,,,"India, Bangladeshi"
Indian Cholera Epidemic of 1781–83,Cholera,No,1781,1783,2.998858447,22000,,,,,,,,,,,India
Indian Cholera Epidemic of 1817–18,Cholera,No,1817,1818,1.998858447,,,,0.494505495,,,,,,,,India
Indian Cholera Epidemic of 1826–27,Cholera,No,1826,1827,1.998858447,89123,,,0.607954545,0.218189233,,,,,,,India
Indian Cholera Epidemic of 1860–61,Cholera,No,1860,1861,1.998858447,117181,,,,,,,,,,,India
Indian Cholera Epidemic of 1867–68,Cholera,No,1867,1868,1.998858447,,,,,,,,,,,,India
Indian Cholera Epidemic of 1875–77,Cholera,No,1875,1877,2.998858447,,,,,,,,,,,,India
Indian Cholera Epidemic of 1891–92,Cholera,No,1891,1892,1.998858447,1304384,,,,0.0034,,,,,,,India
Indian Cholera Epidemic of 1900,Cholera,No,1900,1900,0.998858447,805698,,,,0.00372,,,,,,,India
Indian Cholera Epidemic of 1964–66,Cholera,No,1964,1966,2.998858447,,,,,,,,,,,,India
Indian Conjunctivitis Epidemic of 1971,Conjunctivitis,No,1971,1971,0.998858447,,,,,,0.95,,,1,,,India
Indian Dengue Hemorrhagic Fever Epidemics,Dengue,No,1960,1960,0.998858447,,200000,,,,0.2,,,,,,India
Indian Dengue Outbreak of 2006–07,Dengue,No,2006,2007,0.415525114,183,9940,,0.018410463,,,,,,,,India
Indian Encephalitis Epidemic of 1977–78,Japanese B encephalitis (JBE),No,1977,1978,1.998858447,,1500000,,,,,,,,,,India
Indian HIV/AIDS Epidemic,HIV/AIDS,No,2000,2010,10.99885845,,22500000,,,,,,,,,,India
Indian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.582191781,,12500000,,,,,,,,,,India
Indian Influenza Epidemic of 1957–58,Influenza,No,1957,1958,1.624429224,1098,4451785,,0.000246643,0.000003,0.012366,,,,,,India
"Indian Kala-azar Epidemics, Early",kala-azar (visceral leishmaniasis),No,1900,1900,0.998858447,75000,,,,,,,,,,,India
"Indian Kala-azar Epidemics, Later",kala-azar (visceral leishmaniasis),No,1940,1970,30.99885845,,700000,,,,,,,,,,India
Indian Kyasanur Forest Disease Epidemics of 1957–58,Kyasanur Forest Disease,No,1957,1958,1.998858447,47,466,,0.1,,,1,1,,,1,India
Indian Malaria Epidemic of 1974–75,Malaria,No,1974,1975,1.998858447,,30000000,,,,,,,,,,India
Indian Malaria Epidemics of the 1990s–2005,Malaria,No,1990,2005,15.99885845,,2500000,,,,,,,,,,India
Indian Ocean Chikungunya Virus Epidemics of 2005–06,Chikungunya virus fever,No,2005,2006,1.998858447,,375000,,,,,,,,,,"Indian Ocean, India"
Indian Plague of 1896–97,Plague,No,1896,1897,1.582191781,300000,,,0.8,,,,,,,,India
Indian Plague of 1904–07,Plague,No,1904,1907,3.998858447,2000000,,,,0.027,,,,,,,India
Indian Plague of 1994,Plague,No,1994,1994,0.332191781,300,,,,,,,,,,,India
Indian Poliomyelitis Epidemics of World War II,Poliomyelitis,No,1942,1944,2.998858447,,,,0.17,0.0017,,,,,,,India
Indian Smallpox Epidemic of 1769–70,Smallpox,No,1769,1770,1.998858447,63000,,,,,,,,,,,India
Indian Smallpox Epidemic of 1973–74,Smallpox,No,1973,1974,1.998858447,30000,188000,,0.159574468,,,,,,,,India
Indonesian Cholera Epidemic of 1821,Cholera,No,1821,1821,0.998858447,125000,,,,,,,,,,,Indonesia
Indonesian Cholera Epidemic of 1961–62,Cholera,No,1961,1962,1.998858447,897,4107,,0.218407597,0.219,,,,,,,Indonesia
Indonesian Influenza Epidemic of 1918,Influenza,No,1917,1919,2.998858447,1500000,,,,,,,,,,,Indonesia
Indonesian Smallpox Epidemics of 1965–67,Smallpox,No,1965,1967,2.998858447,,56359,,,,,,,,,,Indonesia
Iowan Mumps Epidemic of 2006,Mumps,No,2006,2006,0.998858447,,1100,,,,,,,,,,USA
Iranian (Persian) Typhus Epidemic of 1942–44,Typhus,No,1942,1944,2.998858447,,44321,,,0.2,,,,,,,Iran
Iraqi Schistosomiasis Epidemics of c. 1910–30,Schistosomiasis,No,1910,1930,20.99885845,,,,,,,,1,,,,Iraq
"Ireland, Great Plague of",Plague,No,1348,1351,2.912785388,,,,,,,,,,,,Ireland
Irish Pestilences of 1519–25,Plague,No,1519,1525,6.998858447,,,,,,,,,,,,Ireland
Irish Pestilences of 1535–36,Plague,No,1535,1536,1.998858447,,,,,,,,,,,,Ireland
Irish Plague of 1574–76,Plague,No,1574,1576,2.998858447,,,,,,,,,,,,Ireland
Irish Plague of 1604–05,Plague,No,1604,1605,1.998858447,,,,,,,,,,,,Ireland
Irish Plague of 1650–51,Plague,No,1650,1651,1.998858447,,,,,,,,,,,,Ireland
Irish Typhus and Dysentery Epidemic of 1740–41,Typhus,No,1740,1741,1.998858447,,,,,,,,,,,,Ireland
Irish Typhus and Dysentery Epidemic of 1817–18,Typhus,No,1817,1818,1.998858447,110000,1100000,6000000,0.3,0.018333333,0.183333333,,,,,,Ireland
Irish Typhus and Dysentery Epidemic of 1846–50,Typhus,No,1846,1850,4.998858447,47300,450000,,0.105111111,,,,,,,,Ireland
Irish Typhus Epidemics of 1708–10,Typhus,No,1708,1710,2.998858447,,,,,,,,,,,,Ireland
Irish Typhus Epidemics of 1718–20,Typhus,No,1718,1720,2.998858447,,,,,,,,,,,,Ireland
Irish Typhus Epidemics of 1728–30,Typhus,No,1728,1730,2.998858447,,,,,,,,,,,,Ireland
Irish Typhus Epidemic of 1836–40,Typhus,No,1836,1840,4.998858447,,,,,,,,,,1,1,Ireland
Iroquois Indian Smallpox Epidemic of 1662,Smallpox,No,1662,1662,0.998858447,10000,,20000,,0.5,,,,,,,USA
Israeli Diphtheria Epidemics of 1950–51,Diphtheria,No,1950,1951,1.998858447,,2445,,0.006,,0.00148,,,,,,Israel
Israeli Leptospirosis Epidemic of 1949–50,Leptospirosis,No,1949,1950,1.998858447,,1000,,0.015,,0.008,,,,,,Israel
Israeli Poliomyelitis Epidemics of 1950–52,Poliomyelitis,No,1950,1952,2.998858447,397,3374,,0.117,,,,,,,,Israel
Israeli West Nile Fever Epidemics of the 1950s,West Nile Virus (WNV),No,1950,1959,9.998858447,,,,,,,1,1,1,,,Israel
Israeli West Nile Virus Epidemic of 2000,West Nile Virus (WNV),No,2000,2000,0.998858447,13,,,0.09,,,,,,1,1,Israel
Italian Cholera Epidemic of 1866–67,Cholera,No,1866,1867,1.998858447,130000,,,,,,,,,,,Italy
Italian Cholera Epidemic of 1884–85,Cholera,No,1884,1885,1.998858447,50000,100000,,0.5,,,,,,,,Italy
Italian Diphtheria Epidemic of 1618,Diphtheria,No,1618,1618,0.582191781,8000,,,,,,,,,,,Italy
Italian Influenza Epidemic of 1580,Influenza,No,1580,1580,0.998858447,,,,,,,,,,,,Italy
Italian Meningitis Epidemics of 1839–45,cerebrospinal meningitis (CSM),No,1839,1845,6.998858447,,,,,,,,,1,1,,Italy
Italian Plagues of 1477–79,Plague,No,1477,1479,2.998858447,40000,,,,,,,,,,,Italy
Italian Plagues of 1629–31,Plague,No,1629,1631,2.998858447,280000,,,0.5,,,,,,,,Italy
Italian Plagues of 1656–57,Plague,No,1656,1657,1.998858447,218000,,498000,,0.437751004,,,,,,,Italy
Italian Smallpox Epidemics of 1814,Smallpox,No,1814,1814,0.998858447,,,,,,,,,,,,Italy
Italian Smallpox Epidemic of 1870–72,Smallpox,No,1870,1872,2.998858447,2000,6000,,0.166666667,,,,,,,,Italy
Italian Smallpox Epidemic of 1900–02,Smallpox,No,1900,1902,2.998858447,14951,60532,,0.25,,,,,,,,Italy
Italian Smallpox Epidemic of 1920–21,Smallpox,No,1920,1921,1.998858447,12433,31097,,0.399813487,,,,,,,,Italy
Italian Typhoid Epidemics of 1950–52,Typhoid,No,1950,1952,2.998858447,3572,87276,,0.040927632,0.000029,,,,,,,Italy
Italian Typhus Epidemic of 1505,Typhus,No,1505,1505,0.998858447,,,,,,,,,,,,Italy
Italian Typhus Epidemics of 1796–1800,Typhus,No,1796,1800,4.998858447,,,,,,,,,,,,Italy
Italian Typhus Epidemic of 1816–18,Typhus,No,1816,1818,2.998858447,,,,0.18,,,,,,1,1,Italy
Italian Whooping Cough Epidemics of 1901–05,Whooping Cough,No,1901,1905,4.998858447,60000,250000,,0.24,,,,1,,,,Italy
Jamaican Yellow Fever Epidemic of 1655,Yellow Fever,No,1655,1655,0.998858447,1500,,,,,,,,,,,Jamaica
Japanese Army Beriberi Epidemic of 1904–05,Beriberi,No,1904,1905,1.998858447,3956,97572,,0.040544418,,,,,,,,Japan
Japanese Cholera Epidemic of 1822,Cholera,No,1822,1822,0.998858447,,,,,,,,,,,,Japan
Japanese Cholera Epidemics of 1858–59,Cholera,No,1858,1859,1.998858447,3000000,,,,,,,,,,,Japan
Japanese Cholera Epidemics of 1862,Cholera,No,1862,1862,0.998858447,,,,,,,,,,,,Japan
Japanese Dengue Epidemics of 1942–45,Dengue,No,1942,1945,3.998858447,,2000000,,,,,,,,,,Japan
Japanese Encephalitis Epidemics of the 1920s and 1930s,Japanese B encephalitis (JBE),No,1920,1939,19.99885845,12159,21355,,0.569374854,,,,,,1,1,Japan
Japanese Epidemic of A.D. 585–587,Smallpox,No,585,587,2.998858447,,,,,,,,,,,,japan
Japanese Epidemic of A.D. 994–995,Smallpox,No,994,995,1.998858447,,,,,0.5,,,,,,,Japan
Japanese Influenza Epidemic of 1957–58,Influenza,No,1957,1958,1.64086758,6000,160000,,0.0375,,0.26,1,,,,1,Japan
Japanese-Korean Typhus Epidemic of 1945–46,Typhus,No,1945,1946,1.998858447,160000,2000000,,0.08,,,,,,,,"Japan, Korea"
Japanese Malaria Epidemic of 1945–46,Malaria,No,1945,1946,1.998858447,,16000,,,,0.5,,,,,,Japan
Japanese Measles Epidemics of A.D. 998 and 1025,Measles,No,998,1025,27.99885845,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1690–91,Measles,No,1690,1691,1.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1708–09,Measles,No,1708,1709,0.665525114,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1730–31,Measles,No,1730,1731,1.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1753,Measles,No,1753,1753,0.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1776,Measles,No,1776,1776,0.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1803,Measles,No,1803,1803,0.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1823–24,Measles,No,1823,1824,1.998858447,,,,,,,,,,,,Japan
Japanese Measles Epidemic of 1862,Measles,No,1862,1862,0.998858447,,,,,,0.63,,,1,1,1,Japan
Japanese Rubella Epidemic of 1684,Measles,No,1684,1684,0.998858447,7000,,,,,,,,,,,Japan
Japanese Smallpox Epidemic of A.D. 735–737,Smallpox,No,735,737,2.998858447,,,,,,,,,,,,Japan
Japanese Smallpox Epidemics of the Eighth and Ninth Centuries A.D.,Smallpox,No,700,899,199.9988584,,,,,,,,,,,,Japan
Japanese Smallpox Epidemics of the Tenth Century A.D. ,Smallpox,No,1902,1902,0.226940639,,,,,,,,,,,,Japan
Japanese Syphilis Epidemic of 1512,Syphilis,No,1512,1512,0.998858447,15000,,,,,,,,,,,Japan
Javanese (Indonesian) Plague of 1910–14,Plague,No,1910,1914,4.998858447,,,,,,,,,,,,Indonesia
Javanese (Indonesian) Plague of 1932–34,Plague,No,1932,1934,2.998858447,42585,,,0.9998,,,,,,,,Indonesia
Javanese (Indonesian) Typhoid Epidemic of 1846–50,Typhoid,No,1846,1850,4.998858447,,,,0.393333333,,,,,,,,Indonesia
Joachim’s Army Typhus Epidemic of 1542,Typhus,No,1542,1542,0.998858447,55000,,,,,,,,,,,Hungary
"Justinian, Plague of (First Plague Pandemic)",Plague,Yes,542,590,48.99885845,,,,,,,,,,,,"Turkey, Egypt, Italy, Syria"
Kenyan and Somali Rift Valley Outbreaks of 2006–07,Rift Valley Fever (RVF),No,2006,2007,1.998858447,478,3300,,0.144848485,,,,,,,,"Kenya, Somali"
Kenyan Cholera Epidemic of 1974–75,Cholera,No,1974,1975,0.412785388,770,2773,,0.277677605,0.25,,,,,,,Kenya
Kenyan Plague of 1941–42,Plague,No,1941,1942,1.998858447,529,1810,,0.292265193,,,,,,,,kenya
Kenyan Relapsing Fever Epidemic of 1945–46,Relapsing Fever,No,1945,1946,1.998858447,800,2000,,0.4,,,,,,,,Kenya
Kenyan Smallpox Epidemic of 1897–99,Smallpox,No,1897,1899,2.998858447,,,,0.4,,,,,,,,Kenya
Kenyan Typhoid Epidemic of 1954,Typhoid,No,1954,1954,0.998858447,103,870,,0.118390805,,,,,,,,Kenya
Kilimanjaro Plague of 1912,Plague,No,1912,1912,0.998858447,58,,,,,,,,,,,"Kenya, Tanzania"
Korean Cholera Epidemics of 1821–22,Cholera,No,1821,1822,1.498858447,,,,0.9,,,,,,,,Korea
Korean Cholera Epidemics of 1895,Cholera,No,1895,1895,0.998858447,300000,,,0.525,,,,,,,,Korea
Korean Hemorrhagic Fever Epidemic of 1951–54,hemorrhagic fever with renal syndrome (HFRS),No,1951,1954,3.998858447,,3000,,0.08,,,,,,,,Korea
Korean Hepatitis Epidemic of 1950–51,Hepatitis,No,1950,1951,1.998858447,,573,,,,,,,,,,Korea
Latin American HIV/AIDS Epidemic,HIV/AIDS,No,1987,2010,23.99885845,,1500000,,,,0.2,,,,,,Latin America
Libyan Plague of the First Century A.D.,Plague,No,100,100,0,,,,,,,,,,,,Lybia
Livorno-Lucca Yellow Fever Epidemic of 1804,Yellow Fever,No,1804,1804,0.998858447,,750,,0.7,,,,,,,,Italy
"London, Great Plague of",Plague,No,1664,1665,1.998858447,75000,,,,0.2,,,,,,,England
Londonderry and Dundalk Typhus and Dysentery Epidemics of 1689,Typhus,No,1689,1689,0.998858447,6000,12000,,0.5,,,,,,,,Ireland
London Plague of 1499–1500,Plague,No,1499,1500,1.582191781,30000,,,,,,,,,,,England
London Plague of 1563,Plague,No,1563,1563,0.998858447,20000,,80000,,0.25,,,,,,,England
London Plague of 1578,Plague,No,1578,1578,0.998858447,8000,,,,,,,,,,,England
London Plague of 1593,Plague,No,1593,1593,0.998858447,17000,,150000,,0.113333333,,,,,,,England
London Plague of 1603,Plague,No,1603,1603,0.998858447,35000,,250000,,0.14,,,,,,,England
London Plague of 1625,Plague,No,1625,1625,0.998858447,60000,,300000,,0.2,,,,,,,England
London Plague of 1636,Plague,No,1636,1636,0.998858447,10000,,350000,,0.028571429,,,,,,,England
London Smallpox Epidemics of 1667–68,Smallpox,No,1667,1668,1.998858447,3200,,,0.166666667,,,,,,,,England
London Smallpox Epidemics of 1674,Smallpox,No,1674,1674,0.998858447,2500,,,0.166666667,,,,,,,,England
London Smallpox Epidemics of 1681,Smallpox,No,1681,1681,0.998858447,3000,,,0.166666667,,,,,,,,England
