Name,Category,Pandemic,Start_Year,End_Year,Duration,Death,Confirmed_Case,Population,Case_Fatality_Rate,Mortality_Rate,Infection_Rate,AG_Infant,AG_Children,AG_Young_Adult,AG_Mid_Age,AG_Old,Country_Region
London Smallpox Epidemic of 1721,Smallpox,No,1721,1721,0.998858447,,,,,,,,,,,,England
London Smallpox Epidemic of 1710,Smallpox,No,1710,1710,0.998858447,3128,,,,,,,,,,,England
London Smallpox Epidemic of 1714,Smallpox,No,1714,1714,0.998858447,2810,,,,,,,,,,,England
London Smallpox Epidemic of 1719,Smallpox,No,1719,1719,0.998858447,3229,,,,,,,,,,,England
London Typhus Epidemic of 1661–65,Typhus,No,1661,1665,4.998858447,15700,,,,,,,,,,,England
London Typhus Epidemic of 1685–86,Typhus,No,1685,1686,1.998858447,8235,,,,,,,,,,,England
London Typhus Epidemics of 1709–20,Typhus,No,1709,1720,11.99885845,32624,,,,,,,,,,,England
London Typhus Epidemic of 1726–29,Typhus,No,1726,1729,3.998858447,19435,,,,,,,,,,,England
London Typhus Epidemic of 1741–42,Typhus,No,1741,1742,1.998858447,,,,,,,,,,,,England
London Typhus Epidemic of 1750,Typhus,No,1750,1750,0.998858447,,,,,,,,,,,,England
London Typhus Epidemic of 1862–65,Typhus,No,1862,1865,3.998858447,10000,,,,,,,,,,,England
Los Angeles Plague of 1924–25,Plague,No,1924,1925,1.998858447,36,41,,0.87804878,,,,,,,,USA
Los Angeles Poliomyelitis Epidemic of 1934,Poliomyelitis,No,1934,1934,0.998858447,,2499,,,,,,,,,,USA
Lyon Plague of 1564,Plague,No,1564,1564,0.998858447,,,60000,,,0.333333333,,,,,,France
Lyon Plague of 1628–29,Plague,No,1628,1629,1.998858447,35000,,,,,,,,,,,France
Madagascan Cholera Epidemic of 1999–2000,Cholera,No,1999,2000,1.832191781,1300,23000,,0.056521739,,,,,,,,Madagascar
Madagascan Malaria Epidemic of 1987–88,Malaria,No,1987,1988,1.998858447,100000,,3000000,,0.033333333,,,,,,,Madagascar
Madagascan Plague of 1924–25,Plague,No,1924,1925,1.998858447,2000,,,,,,,,,,,Madagascar
Madagascan Plague of 1933–37,Plague,No,1933,1937,4.998858447,12000,13953,,0.860030101,,,,,,,,Madagascar
Madagascan Smallpox Epidemic of 1817–18,Smallpox,No,1817,1818,1.998858447,,,,,,,,,,,,Madagascar
Mainz Typhus Epidemic of 1813–14,Typhus,No,1813,1814,0.505479452,17500,30000,,0.583333333,,,,,,,,Germany
Malaysian Nipah Outbreak of 1998–99,Nipah Virus,No,1998,1999,1.998858447,105,265,,0.396226415,,,,,,,,Malaysia
Malaysian Poliomyelitis Epidemic of 1971–72,Poliomyelitis,No,1971,1972,1.332191781,,1600,,,,,,,,,,Malaysia
Maldivian Cholera Epidemic of 1978,Cholera,No,1978,1978,0.248858447,252,11303,,0.022,,0.077,,,,,,Maldives
Malian Cholera Epidemic of 1970–71,Cholera,No,1970,1971,0.415525114,2000,5000,,0.4,,,,,,,,Mali
Malian Relapsing Fever Epidemic of 1921–22,Relapsing Fever,No,1921,1922,1.998858447,15000,108000,,0.138888889,,,,,,,,Mali
Maltese Plague of 1675–76,Plague,No,1675,1676,1.998858447,11300,,70000,,0.161428571,,,,,,,Malta
Maltese Plague of 1813,Plague,No,1813,1813,0.998858447,4486,,,,,,,,,,,Malta
Maltese Poliomyelitis Epidemic of 1942–43,Poliomyelitis,No,1942,1943,1.998858447,,483,,,,,1,1,,,,Malta
Manchurian and Mongolian Plagues of 1928–30,Plague,No,1928,1930,2.998858447,268,,,,,,,,,,,"China, Mongolia"
Manchurian Cholera Epidemic of 1919,Cholera,No,1919,1919,0.998858447,10000,,,0.458,,,,,,,,China
Manchurian Plague of 1910–11,Plague,No,1910,1911,1.998858447,60000,,,,,,,,,,,China
Manchurian Plague of 1920–21,Plague,No,1920,1921,1.998858447,9300,,,,,,,,,,,China
Mandan Indian Smallpox Epidemic of 1837,Smallpox,No,1837,1837,0.998858447,,,,,,,,,,,,USA
Marburg Virus Epidemic of 1967,Unknown,No,1967,1967,0.998858447,,31,,0.25,,,,,,,,"Germany, Yugoslavia"
"Marseille, Plague of",Plague,No,1720,1720,0.998858447,80000,,,,,,,,,,,France
Massachusetts Smallpox Epidemic of c. 1617–19,Smallpox,No,1617,1619,2.998858447,,,,,0.9,,,,,,,USA
Massachusetts Smallpox Epidemic of c. 1633,Smallpox,No,1633,1633,0.998858447,,,,,0.9,,,,,,,USA
Massachusetts Smallpox Epidemic of 1648–49,Smallpox,No,1648,1649,1.998858447,,,,,,,,,,,,USA
Mauritian Influenza Epidemic of 1919,Influenza,No,1919,1919,0.998858447,10000,100000,,0.1,,,,,,,,Mauritius
Mauritian Malaria Epidemic of 1866–68,Malaria,No,1866,1868,2.998858447,300000,,,,0.25,,,,,,,Mauritius
Maximilian II’s Army Typhus Epidemic,Typhus,No,1542,1542,0.998858447,,,,,,,,,,,,Hungary
Mecca Cholera Epidemic of 1865,Cholera,No,1865,1865,0.998858447,30000,90000,,0.333333333,,,,,,,,Saudi Arabia
Mexican Cholera Epidemic of 1833,Cholera,No,1833,1833,0.998858447,17963,,,,,,,,,,,Mexico
Mexican-Guatemalan Smallpox Epidemic of 1797,Smallpox,No,1797,1797,0.998858447,19500,125000,,0.156,,,1,1,,,,"Mexico, Guatemala"
Mexican Smallpox Epidemic of 1520–21,Smallpox,No,1520,1521,1.998858447,2750000,,,,,,,,,,,Mexico
Mexico City Typhus Epidemic of 1813,Typhus,No,1813,1813,0.998858447,20385,,,,,,,,,,,Mexico
Middle East Black Death Epidemics,Plague,No,1347,1348,1.998858447,,,,,0.33,,,,,,,Middle East
Middle East Hepatitis Epidemics of World War II,Hepatitis,No,1940,1943,3.998858447,,,,,,0.082,,,1,,,Middle East
Mongallan Meningitis Epidemics of 1918–24,cerebrospinal meningitis (CSM),No,1918,1924,6.998858447,,,,,,,,,,,,Mongalia
Mongallan Meningitis Epidemics of  1926–31,cerebrospinal meningitis (CSM),No,1926,1931,5.998858447,1137,,,0.8,,,,,,,,Mongalia
Montreal Smallpox Epidemic of 1885,Smallpox,No,1885,1885,0.998858447,3164,,,,,,1,1,,,,Canada
Moroccan Meningitis Epidemics of 1967–70,cerebrospinal meningitis (CSM),No,1967,1970,3.998858447,1230,10000,,0.123,,,,,,,,Morocco
Moroccan Plague of 1911,Plague,No,1911,1911,0.998858447,9000,,,,,,,,,,,Morocco
Moroccan Relapsing Fever Epidemic of 1945–46,Relapsing Fever,No,1945,1946,1.998858447,2000,43900,,0.06,,,,,,,,Morocco
Moroccan Typhus Epidemic of 1942–45,Typhus,No,1942,1945,3.998858447,8040,40200,,0.2,,,,,,,,Morocco
Moscow Influenza Epidemic of 1995–97,Influenza,No,1995,1997,2.998858447,15,1000000,,0.000015,,,,,,,,Russia
Naples Typhus Epidemic of 1943–44,Typhus,No,1943,1944,1.998858447,199,1423,,0.139845397,,,,,,,,France
Napoleon’s Army Epidemics in the Near East,Plague,No,1798,1801,3.998858447,60000,600000,,0.1,,,,,,,,"Egypt, Syria"
Napoleon’s Army Epidemics in Russia,Typhus,No,1812,1813,1.496118721,,,,,,,,,,,,Russia
Netherlands “Legionnaires’ Disease” Epidemic,Legionnaire’s disease (LD),No,1999,1999,0.024657534,28,242,,0.166666667,,,,,,,,Netherland
New England Diphtheria and Scarlet Fever Epidemics of 1735–40,Diphtheria,No,1735,1740,5.998858447,,,,,,,1,1,,,,USA
New England Influenza Epidemic of 1789,Influenza,No,1789,1789,0.998858447,,,,,,,,,,,,USA Canada
New England Scarlet Fever Epidemic of 1793–95,Scarlet Fever,No,1793,1795,2.998858447,52,700,,0.074285714,,,1,1,,,,USA
New Haven Yellow Fever Epidemic of 1794,Yellow Fever,No,1794,1794,0.329452055,160,,,,,,,,,,,USA
New Mexico Plague of 1965,Plague,No,1965,1965,0.998858447,,,,,,,,,,,,USA
New York Poliomyelitis Epidemic of 1907,Poliomyelitis,No,1907,1907,0.998858447,,750,,,,,,,,,,USA
New York Smallpox Epidemics of 1868–75,Smallpox,No,1868,1875,7.998858447,,3084,,,,,,,,,,USA
New York Yellow Fever Epidemic of 1668,Yellow Fever,No,1668,1668,0.498858447,,,,,,,,,,,,USA
New York Yellow Fever Epidemic of 1702,Yellow Fever,No,1702,1702,0.998858447,570,,8000,,0.07125,,,,,,,USA
New York Yellow Fever Epidemics of 1743,Yellow Fever,No,1743,1743,0.998858447,217,,11000,,0.019727273,,,,,,,USA
New York Yellow Fever Epidemics of 1745,Yellow Fever,No,1745,1745,0.998858447,,,,,,,,,,,,USA
New York Yellow Fever Epidemic of 1795,Yellow Fever,No,1795,1795,0.998858447,732,,50000,,0.01464,,,,,,,USA
New Zealand Epidemics of the 1790s,Influenza,No,1790,1799,9.998858447,,,,,,,,,,,,New Zealand
New Zealand Epidemics of 1820–40,Influenza,No,1820,1840,20.99885845,,,,,0.6,,,,,,,New Zealand
New Zealand Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.998858447,6689,,,,0.00815,,,,,,,New Zealand
New Zealand Measles Epidemics of 1835,Measles,No,1835,1835,0.998858447,,,,,,,,,,,,New Zealand
New Zealand Measles Epidemics of 1854,Measles,No,1854,1854,0.998858447,4000,,,,,,,,,,,New Zealand
New Zealand Measles Epidemics of 1915–16,Measles,No,1915,1916,1.998858447,1035,,7000,,0.147857143,,,,1,,,New Zealand
New Zealand Measles Epidemics of 1938,Measles,No,1938,1938,0.998858447,212,3500,,0.060571429,0.0012695,,,,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1914,Poliomyelitis,No,1914,1914,0.998858447,25,200,,0.125,,,1,1,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1915,Poliomyelitis,No,1915,1915,0.998858447,76,1018,,0.074656189,,,,,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1924,Poliomyelitis,No,1924,1925,1.412785388,173,1185,,0.145991561,,0.000873,1,1,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1937,Poliomyelitis,No,1937,1937,0.998858447,46,896,,0.051339286,,,,,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1947-49,Poliomyelitis,No,1947,1949,2.998858447,77,1406,,0.054765292,,,,,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1952-54,Poliomyelitis,No,1952,1954,2.998858447,,1205,,,,,1,1,,,,New Zealand
New Zealand Poliomyelitis Epidemics 1955-56,Poliomyelitis,No,1955,1956,1.998858447,73,1485,,0.049158249,,,,,,,,New Zealand
New Zealand Scarlet Fever Epidemics 1863-64,Scarlet Fever,No,1863,1864,1.998858447,119,,15000,0.00793,0.007933333,,,,,,,New Zealand
New Zealand Scarlet Fever Epidemics 1876-77,Scarlet Fever,No,1876,1877,1.998858447,331,,,,0.000351,,,,,,,New Zealand
New Zealand Scarlet Fever Epidemics 1881-82,Scarlet Fever,No,1881,1882,1.998858447,257,,,,,,,,,,,New Zealand
New Zealand Scarlet Fever Epidemics 1903,Scarlet Fever,No,1903,1903,0.998858447,131,8244.8125,,0.015888779,0.00016,,,,,,,New Zealand
New Zealand Scarlet Fever Epidemics 1944-45,Scarlet Fever,No,1944,1945,1.998858447,40,12655,,0.003160806,,,,,,,,New Zealand
New Zealand Troops Poliomyelitis Epidemic of 1940–41,Poliomyelitis,No,1940,1941,1.998858447,4,40,,0.1,,,,,1,1,,Middle East
New Zealand Whooping Cough Epidemics of 1873,Whooping Cough,No,1873,1873,0.998858447,356,,,,0.001233,,1,,,,,New Zealand
New Zealand Whooping Cough Epidemics of 1907,Whooping Cough,No,1907,1907,0.998858447,307,,,,0.000334,,1,,,,,New Zealand
Nicobar Islands Poliomyelitis Epidemic of 1947,Poliomyelitis,No,1947,1947,0.998858447,118,800,9000,0.1475,0.013111111,0.088888889,,,,,,Nicobar Island
Nigerian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.998858447,512000,,,,0.032,,,,,,,Nigeria
Nigerian Measles Epidemic of 2005,Measles,No,2005,2005,0.248858447,589,20859,,0.028237212,,,,,,,,Nigeria
Nigerian Meningitis Epidemics of 1949 and 1950,cerebrospinal meningitis (CSM),No,1949,1950,1.998858447,16055,98458,,0.163064454,,,,,,,,Nigeria
Nigerian Smallpox Epidemic of 1930–35,Smallpox,No,1930,1935,5.998858447,10438,45386,,0.229982814,,,,,,,,Nigeria
Nigerian Yellow Fever Epidemic of 1986–90,Yellow Fever,No,1986,1990,4.998858447,3633,16230,,0.223844732,,,,,,,,Nigeria
Northern Rhodesian (Zambean) Plague of 1917–18,Plague,No,1917,1918,1.998858447,177,184,,0.961956522,,,,,,,,Zambia
Omaha Indian Smallpox Epidemic of 1802,Smallpox,No,1802,1802,0.998858447,,,,,0.666666667,,,,,,,USA
Ontong Java Island Influenza Epidemics,Influenza,No,1900,1939,39.99885845,,,3500,,0.07,,,,,,,Ontong Java
Oregon Malaria Epidemic of 1829–33,Malaria,No,1829,1833,4.998858447,150000,,,,0.95,,,,,,,USA
Oxford Typhus Epidemic of 1577,Typhus,No,1577,1577,0.998858447,500,,,,,,,,,,,England
Oxford Typhus Epidemic of 1643,Typhus,No,1643,1643,0.998858447,,,,,,,,,,,1,England
Pakistani Malaria Epidemic of 1929,Malaria,No,1929,1929,0.332191781,40000,,,,,,,,,,,Pakistan
Panamanian Yellow Fever Epidemics of 1880–1904,Yellow Fever,No,1880,1904,24.99885845,1425,,,,0.41,,,,,,,Panama
Papua New Guinea Influenza Epidemics of 1969–70,Influenza,No,1969,1970,1.998858447,3000,,,,,0.075,,,,,,Papua New Guinea
Paris Diphtheria Epidemic of 1576,Diphtheria,No,1576,1576,0.998858447,,,,,,,,,,,,France
Paris Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.998858447,,,,,0.333333333,,,,,,,France
Paris Plague of 1466,Plague,No,1466,1466,0.998858447,40000,,,,,,,,,,,France
Paris Whooping Cough Epidemic of 1578,Whooping Cough,No,1578,1578,0.998858447,,,,,,,1,1,,,,France
Peking (Beijing) Pneumonia Epidemics of 1949,broncho pneumonia,No,1949,1949,0.998858447,,,,,,,,1,,,,China
Peking (Beijing) Pneumonia Epidemics of 1952–53,broncho pneumonia,No,1952,1953,1.998858447,,3148,,0.526,,,,1,,,,China
Peking (Beijing) Pneumonia Epidemics of 1958–59,broncho pneumonia,No,1958,1959,1.998858447,528,3398,,0.155,,,,1,,,,China
Persian Cholera Epidemics of 1821–22,Cholera,No,1821,1822,1.998858447,16500,,,,,,,,,,,Iran
Persian Cholera Epidemics of 1846–63,Cholera,No,1846,1863,17.99885845,12000,,,,,,,,,,,Iran
Persian Cholera Epidemics of 1866–70,Cholera,No,1866,1870,4.998858447,,,,,,,,,,,,Iran
Persian Influenza Epidemic of 1833,Influenza,No,1833,1833,0.998858447,,,,,,,,,,,,Iran
Persian Influenza Epidemic of 1918,Influenza,No,1918,1918,0.415525114,6500,,640000,,0.01015625,0.2,,,,,,Iran
Persian Plague of 1772–73,Plague,No,1772,1773,1.998858447,250000,,,,,,,,,,,Iran
Persian Plague of 1800,Plague,No,1800,1800,0.998858447,,,,,,,,,,,,Iran
Persian Plague of 1830,Plague,No,1830,1839,9.332191781,30000,,,,,,,,,,,Iran
Peruvian Cholera Epidemic of 1991–92,Cholera,No,1991,1992,1.938584475,3300,426000,,0.007746479,,,,,,,,Peru
Peruvian Smallpox Epidemic of 1525–27,Smallpox,No,1525,1527,2.998858447,200000,,,0.7,,,,,,,,Peru
Peruvian Smallpox Epidemic of 1585,Smallpox,No,1585,1585,0.998858447,,,,,,,,,,,,Peru
Philadelphia “Legionnaires’ Disease” Epidemic,Legionnaire’s disease (LD),No,1976,1976,0.082191781,26,260,,0.1,,,,,,,,USA
Philadelphia Yellow Fever Epidemic of 1793,Yellow Fever,No,1793,1793,0.998858447,5000,17000,50000,0.294117647,0.1,0.34,,,,,,USA
Philippine Beriberi Epidemics of 1901–02,Beriberi,No,1901,1902,1.998858447,229,5448,,0.042033774,,,,,,,,Philippine
Philippine Beriberi Epidemics of 1909,Beriberi,No,1909,1909,0.998858447,329,1700,,0.193529412,,,,,,,,Philippine
Philippine Cholera Epidemic of 1820–21,Cholera,No,1820,1821,1.998858447,,,,,,,,,,,,Philippine
Philippine Cholera Epidemics of 1882–83,Cholera,No,1882,1883,1.998858447,17500,,,,,,,,,,,Philippine
Philippine Cholera Epidemics of 1888–89,Cholera,No,1888,1889,1.998858447,,,,,,,,,,,,Philippine
Philippine Cholera Epidemic of 1902–04,Cholera,No,1902,1904,2.998858447,200000,,,0.85,0.108,,,,,,,Philippine
Philippine Cholera Epidemic of 1961–62,Cholera,No,1961,1962,0.442465753,2005,15000,,0.133666667,,,1,1,,,1,Philippine
Philippine Dengue Epidemics of the 1950s and 1960s,Dengue,No,1953,1969,16.99885845,105.42,2666,,0.039542386,,,1,1,,,,Philippine
Philippine Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.998858447,65444,,,,0.0089,,,,,,,Philippine
Philippine Plague of 1899–1903,Plague,No,1899,1903,4.998858447,601,,,,,,,,,,,Philippine
Philippine Poliomyelitis Epidemic of 1944–45,Poliomyelitis,No,1944,1945,1.998858447,47,,,,,,,,,,,Philippine
Philippine Schistosomiasis Epidemic of 1944–45,Schistosomiasis,No,1944,1945,1.998858447,,2535,,,,,,,,,,Philippine
Philippine Smallpox Epidemic of 1591,Smallpox,No,1591,1591,0.998858447,,,,,,,,,,,,Philippine
Philistine Plague (Plague of Ashdod),Plague,No,-1050,-1000,50.99885845,,,,,,,,,,,,Isreal
Picardy Sweat,Profuse Sweating,No,1718,1718,0.998858447,,,,,,,,,,,,France
"Plague Pandemic, Third",Plague,Yes,1850,1959,109.9988584,30000,,,0.8,,,,,,,,China
Portuguese Plagues of the 1400s,Plague,No,1415,1481,66.99885845,,,,,,,,,,,,Portugal
Portuguese Plagues of the 1500s,Plague,No,1521,1600,79,,,,,,,,,,,,Portugal
Príncipe Sleeping Sickness Epidemic of 1898–1913,Sleeping Sickness,No,1898,1913,15.99885845,3500,,,,,,,,,,,Príncipe
Prussian Army Dysentery Epidemic of 1792,Dysentery,No,1792,1792,0.498858447,12000,,42000,,0.285714286,,,,,,,France
Prussian Plague of 1602,Plague,No,1602,1602,0.998858447,18700,49000,,0.381632653,,,,,,,,Poland
Prussian Typhus Epidemics of 1812–14,Typhus,No,1812,1814,2.998858447,96992,,,,0.33,,,,,,,German
Puerto Rican Dengue Epidemics of 1994–95,Dengue,No,1994,1995,1.998858447,12,25266,,0.000474947,,,,,,,,Puerto Rico
Puerto Rican Dengue Epidemics of 1998,Dengue,No,1998,1998,0.998858447,,4677,,,,,,,,,,Puerto Rico
Punjab Malaria Epidemics of 1878–79,Malaria,No,1878,1879,1.998858447,60000,103000,721000,0.582524272,0.083217753,0.142857143,,,,,,India
Punjab Malaria Epidemic of 1908,Malaria,No,1908,1908,0.998858447,307316,,,,0.3,,,,,,,India
Quebec Smallpox Epidemic of 1776,Smallpox,No,1776,1776,0.998858447,30,1500,2500,0.02,0.012,0.6,,,,,,Canada
Quebec Yellow Fever Epidemic of 1710,Yellow Fever,No,1710,1710,0.498858447,,,,,,,,,,,,Canada
Reading Typhus Epidemic of 1643,Typhus,No,1643,1643,0.998858447,,,,,,,,,,,,England
Rhodesian Smallpox Epidemic of 1946–48,Smallpox,No,1946,1948,2.998858447,,2689,,0.3,,,,,,,,Zimbabwe
Rio de Janeiro Smallpox Epidemics of 1904 and 1908,Smallpox,No,1904,1908,4.998858447,13000,,,,,,,,,,,Brazil
Rio de Janeiro Yellow Fever Epidemics of 1849–1902,Yellow Fever,No,1849,1902,53.99885845,70000,,,,,,,,,,,Brazil
Roman Pestilence of 451 B.C.,Unknown,No,-451,-451,0.998858447,,,,,,,,,,,,Italy
Roman Pestilence of 212 B.C.,Influenza,No,-212,-212,0.998858447,,,,,,,,,,,,Italy
Roman Plague of A.D. 590,Plague,No,590,590,0.998858447,,,,,,,,,,,,Italy
Roman Plague of A.D. 680,Plague,No,680,680,0.998858447,,,,,,,,,,,,Italy
Russian Anthrax Epidemic of 1979,anthrax infection,No,1979,1979,0.998858447,66,,,,,,,,,,,Russia
Russian Cholera Epidemic of 1829–31,Cholera,No,1829,1831,2.347031963,234664,534548,,0.438995188,,,,,,,,Russia
Russian Cholera Epidemic of 1892–93,Cholera,No,1892,1893,1.998858447,42250,106600,,0.396341463,,,,,,,,Russia
Russian Cholera Epidemic of 1910,Cholera,No,1910,1910,0.582191781,110000,230000,,0.47826087,,,,,,,,Russia
Russian Cholera Epidemics of 1915–22,Cholera,No,1915,1922,7.998858447,,41586,,,,,,,,,,Russia
Russian Diphtheria Epidemic of the 1990s,Diphtheria,No,1990,1999,9.998858447,4000,140000,,0.028571429,,,,,,,,Russia
Russian Ergotism Epidemic of 1722,Ergotism,No,1722,1722,0.998858447,20000,,,,,,,,,,,Russia
Russian Influenza Epidemic of 1918–19,Influenza,No,1918,1919,1.998858447,,,,,0.0005,,,,,,,Russia
Russian Influenza Epidemics of 1925–50,Influenza,No,1925,1950,25.99885845,,,,,0.0015,,,,,,,Russia
Russian Influenza Epidemic of 1964–65,Influenza,No,1964,1965,1.998858447,,,,,,0.3,1,1,,,,Russia
Russian Influenza Epidemic of 1968–69,Influenza,No,1968,1969,1.057534247,,30000000,,,,0.124,1,1,,,,Russia
Russian (Red) Influenza Pandemic of 1977–78,Influenza,Yes,1977,1978,1.998858447,,,,,,,1,1,,,,"Russia, China"
Russian Malaria Epidemic of 1922–23,Malaria,No,1922,1923,1.998858447,60000,12000000,,0.005,,,,,,,,Russia
Russian Plague of 1738–39,Plague,No,1738,1739,1.998858447,30000,,,,,,,,,,,Russia
Russian Typhus Epidemics of 1914–22,Typhus,No,1914,1922,8.998858447,300000,3000000,,0.1,,,,,,,,Russia
Rwandan Cholera Epidemic of 1994,Cholera,No,1994,1994,0.998858447,50000,,,,,,,,,,,Rwanda
Samoan Influenza Epidemics of the 1800s,Influenza,No,1837,1891,54.66552511,,,,,,,,,,,,Samoa Island
Samoan Whooping Cough Epidemics,Whooping Cough,No,1849,1850,1.998858447,,,,,0.05,,1,,,,,Samoa Island
San Francisco Plague of 1900–04,Plague,No,1900,1904,4.818493151,121,122,,0.991803279,,,,,,,,USA
San Francisco Plague of 1907–09,Plague,No,1907,1909,2.998858447,103,205,,0.502439024,,,,,,,,USA
Santiago Meningitis Epidemic of 1941–43,cerebrospinal meningitis (CSM),No,1941,1943,2.998858447,971,5885,,0.165,,,1,1,,,,Chile
SARS Outbreaks,SARS,No,2003,2004,1.998858447,722,8398,,0.085972851,,,,,,,,China
Saudi Arabian and Yemeni Rift Valley Fever Outbreaks of 2000,Rift Valley Fever (RVF),No,2000,2000,0.998858447,167,1169,,0.05,,,,,,,,"Saudi Arabia, Yemen"
Saudi Arabian Malaria Epidemic of 1950–51,Malaria,No,1950,1951,1.998858447,,24000,,,,,,,,,,Saudi Arabia
Saudi Arabian Smallpox Epidemic of A.D. 569–571,Smallpox,No,569,571,2.998858447,,,,,,,,,,,,Saudi Arabia
Scandinavian Epidemics of 1736–39,Influenza,No,1736,1739,3.998858447,,,,,0.0052,,,,,,1,"Sweden, Denmark, Iceland, Finland"
"Scotland, Great Plague of",Plague,No,1348,1351,3.498858447,,,,,,,,,,,,Scotland
Scottish Plague of 1600–08,Plague,No,1600,1608,8.998858447,,,,,,,,,,,,Scotland
Scottish Plague of 1644–48,Plague,No,1644,1648,4.998858447,,,,,,,,,,,,Scotland
Scottish Smallpox Epidemics of 1823–31,Smallpox,No,1823,1831,8.998858447,,,,,,,,,,,,Scotland
Scottish Typhus Epidemic of 1836–40,Typhus,No,1836,1840,4.998858447,,5390,,,,,,,,,,Scotland
Seneca Indian Measles Epidemic of 1592–96,Measles,No,1592,1596,4.998858447,,,,,,,,,,,,USA
Senegalese Plague of 1942–44,Plague,No,1942,1944,2.998858447,700,,,,,,,,,,,Senegal
Senegalese Yellow Fever Epidemic of 1778,Yellow Fever,No,1778,1778,0.998858447,60,93,,0.64516129,,,,,,,,Senegal
Senegalese Yellow Fever Epidemic of 1965,Yellow Fever,No,1965,1965,0.998858447,1400,20000,,0.07,,,,,,,,Senegal
Serbian Typhus Epidemic of 1914–15,Typhus,No,1914,1915,1.998858447,150000,500000,,0.3,,,,,,,,Serbia
Shanghai Hepatitis Epidemic of 1988,Hepatitis,No,1988,1988,0.998858447,,320746,,0.001,,0.04082,,,,,,China
Sierra Leonean Influenza Epidemic of 1918,Influenza,No,1918,1919,1.162785388,1072,,,0.75,,0.666666667,,,,,,Sierra Leon
Sierra Leonean Lassa Fever Epidemic of 1972,Lassa Fever,No,1972,1972,0.998858447,,,,,,,,,,,,Sierra Leon
